Name,Path,SAMAccountName,userPrincipalName,OfficePhone,department,AccountPassword,City,Company,Country,Display Name,EmailAddress,Organization,State
James Kirk,"OU=InfoTech,OU=Corp,DC=yourdomain,DC=local",james.kirk,james.kirk@yourdomain.local,555-555-1234,InfoTech,P@ssword,Green Bay,Initech,United States,James Kirk,james.kirk@yourdomain.local,Initech,WI
Sam Malone,"OU=InfoTech,OU=Corp,DC=yourdomain,DC=local",sam.malone,sam.malone@yourdomain.local,555-555-1235,InfoTech,P@ssword,Green Bay,Initech,United States,Sam Malone,sam.malone@yourdomain.local,Initech,WI
Ryan Howard,"OU=InfoTech,OU=Corp,DC=yourdomain,DC=local",ryan.howard,ryan.howard@yourdomain.local,555-555-1236,InfoTech,P@ssword,Green Bay,Initech,United States,Ryan Howard,ryan.howard@yourdomain.local,Initech,WI
Daryll Philbin,"OU=InfoTech,OU=Corp,DC=yourdomain,DC=local",daryll.philbin,daryll.philbin@yourdomain.local,555-555-1237,InfoTech,P@ssword,Green Bay,Initech,United States,Daryll Philbin,daryll.philbin@yourdomain.local,Initech,WI
Angela Martin,"OU=Accounting,OU=Corp,DC=yourdomain,DC=local",angela.martin,angela.martin@yourdomain.local,555-555-1238,Accounting,P@ssword,Green Bay,Initech,United States,Angela Martin,angela.martin@yourdomain.local,Initech,WI
Kevin Malone,"OU=Accounting,OU=Corp,DC=yourdomain,DC=local",kevin.malone,kevin.malone@yourdomain.local,555-555-1239,Accounting,P@ssword,Green Bay,Initech,United States,Kevin Malone,kevin.malone@yourdomain.local,Initech,WI
Oscar Martinez,"OU=Accounting,OU=Corp,DC=yourdomain,DC=local",oscar.martinez,oscar.martinez@yourdomain.local,555-555-1240,Accounting,P@ssword,Green Bay,Initech,United States,Oscar Martinez,oscar.martinez@yourdomain.local,Initech,WI
Cosmo Kramer,"OU=Accounting,OU=Corp,DC=yourdomain,DC=local",cosmo.kramer,cosmo.kramer@yourdomain.local,555-555-1241,Accounting,P@ssword,Green Bay,Initech,United States,Cosmo Kramer,cosmo.kramer@yourdomain.local,Initech,WI
Peter Gibbons,"OU=Developers,OU=Corp,DC=yourdomain,DC=local",peter.gibbons,peter.gibbons@yourdomain.local,555-555-1242,Developers,P@ssword,Green Bay,Initech,United States,Peter Gibbons,peter.gibbons@yourdomain.local,Initech,WI
Michael Bolton,"OU=Developers,OU=Corp,DC=yourdomain,DC=local",michael.bolton,michael.bolton@yourdomain.local,555-555-1243,Developers,P@ssword,Green Bay,Initech,United States,Michael Bolton,michael.bolton@yourdomain.local,Initech,WI
Tom Smykowski,"OU=Developers,OU=Corp,DC=yourdomain,DC=local",tom.smykowski,tom.smykowski@yourdomain.local,555-555-1244,Developers,P@ssword,Green Bay,Initech,United States,Tom Smykowski,tom.smykowski@yourdomain.local,Initech,WI
Bill Lumbergh,"OU=Developers,OU=Corp,DC=yourdomain,DC=local",bill.lumbergh,bill.lumbergh@yourdomain.local,555-555-1245,Developers,P@ssword,Green Bay,Initech,United States,Bill Lumbergh,bill.lumbergh@yourdomain.local,Initech,WI
Michael Scott,"OU=Manufacturing,OU=Corp,DC=yourdomain,DC=local",michael.scott,michael.scott@yourdomain.local,555-555-1246,Manufacturing,P@ssword,Green Bay,Initech,United States,Michael Scott,michael.scott@yourdomain.local,Initech,WI
Milton Waddams,"OU=Manufacturing,OU=Corp,DC=yourdomain,DC=local",milton.waddams,milton.waddams@yourdomain.local,555-555-1247,Manufacturing,P@ssword,Green Bay,Initech,United States,Milton Waddams,milton.waddams@yourdomain.local,Initech,WI
Bob Slydell,"OU=Manufacturing,OU=Corp,DC=yourdomain,DC=local",bob.slydell,bob.slydell@yourdomain.local,555-555-1248,Manufacturing,P@ssword,Green Bay,Initech,United States,Bob Slydell,bob.slydell@yourdomain.local,Initech,WI
Bob Porter,"OU=Manufacturing,OU=Corp,DC=yourdomain,DC=local",bob.porter,bob.porter@yourdomain.local,555-555-1249,Manufacturing,P@ssword,Green Bay,Initech,United States,Bob Porter,bob.porter@yourdomain.local,Initech,WI
Amie Baldwin,"OU=Accounting,OU=Corp,DC=yourdomain,DC=local",Amie.Baldwin,Amie.Baldwin@yourdomain.local,555-1234,Accounting,P@ssword,Green Bay,Initech,United States,Amie Baldwin,Amie.Baldwin@yourdomain.local,Initech,WI
Scott Culp,"OU=Accounting,OU=Corp,DC=yourdomain,DC=local",Scott.Culp,Scott.Culp@yourdomain.local,555-1236,Accounting,P@ssword,Green Bay,Initech,United States,Scott Culp,Scott.Culp@yourdomain.local,Initech,WI
Derek Graham,"OU=developers,OU=Corp,DC=yourdomain,DC=local",Derek.Graham,Derek.Graham@yourdomain.local,555-1239,developers,P@ssword,Green Bay,Initech,United States,Derek Graham,Derek.Graham@yourdomain.local,Initech,WI
Stephanie Bourne,"OU=Sales,OU=Corp,DC=yourdomain,DC=local",Stephanie.Bourne,Stephanie.Bourne@yourdomain.local,555-1239,Sales,P@ssword,Green Bay,Initech,United States,Stephanie Bourne,Stephanie.Bourne@yourdomain.local,Initech,WI
Matthew Dunn,"OU=Executive,OU=Corp,DC=yourdomain,DC=local",Matthew.Dunn,Matthew.Dunn@yourdomain.local,555-1230,Executive,P@ssword,Green Bay,Initech,United States,Matthew Dunn,Matthew.Dunn@yourdomain.local,Initech,WI
Sherri Hart,"OU=Developers,OU=Corp,DC=yourdomain,DC=local",Sherri.Hart,Sherri.Hart@yourdomain.local,555-1231,Developers,P@ssword,Green Bay,Initech,United States,Sherri Hart,Sherri.Hart@yourdomain.local,Initech,WI
Jay Jamieson,"OU=Sales,OU=Corp,DC=yourdomain,DC=local",Jay.Jamieson,Jay.Jamieson@yourdomain.local,555-1232,Sales,P@ssword,Green Bay,Initech,United States,Jay Jamieson,Jay.Jamieson@yourdomain.local,Initech,WI
Lani Ota,"OU=Sales,OU=Corp,DC=yourdomain,DC=local",Lani.Ota,Lani.Ota@yourdomain.local,555-1233,Sales,P@ssword,Green Bay,Initech,United States,Lani Ota,Lani.Ota@yourdomain.local,Initech,WI
Carolyn Seeley,"OU=Accounting,OU=Corp,DC=yourdomain,DC=local",Carolyn.Seeley,Carolyn.Seeley@yourdomain.local,555-4321,Accounting,P@ssword,Green Bay,Initech,United States,Carolyn Seeley,Carolyn.Seeley@yourdomain.local,Initech,WI
Robert Lyon,"OU=Accounting,OU=Corp,DC=yourdomain,DC=local",Robert.Lyon,Robert.Lyon@yourdomain.local,555-4322,Accounting,P@ssword,Green Bay,Initech,United States,Robert Lyon,Robert.Lyon@yourdomain.local,Initech,WI
Fidelma McGinn,"OU=Accounting,OU=Corp,DC=yourdomain,DC=local",Fidelma.McGinn,Fidelma.McGinn@yourdomain.local,555-4324,Accounting,P@ssword,Green Bay,Initech,United States,Fidelma McGinn,Fidelma.McGinn@yourdomain.local,Initech,WI
Michelle Votava,"OU=InfoTech,OU=Corp,DC=yourdomain,DC=local",Michelle.Votava,Michelle.Votava@yourdomain.local,555-4325,InfoTech,P@ssword,Green Bay,Initech,United States,Michelle Votava,Michelle.Votava@yourdomain.local,Initech,WI
Ray Sambroski,"OU=InfoTech,OU=Corp,DC=yourdomain,DC=local",Ray.Sambroski,Ray.Sambroski@yourdomain.local,555-4326,InfoTech,P@ssword,Green Bay,Initech,United States,Ray Sambroski,Ray.Sambroski@yourdomain.local,Initech,WI
Anne Paper,"OU=InfoTech,OU=Corp,DC=yourdomain,DC=local",Anne.Paper,Anne.Paper@yourdomain.local,555-2234,InfoTech,P@ssword,Green Bay,Initech,United States,Anne Paper,Anne.Paper@yourdomain.local,Initech,WI
Fukiko Ogisu,"OU=Sales,OU=Corp,DC=yourdomain,DC=local",Fukiko.Ogisu,Fukiko.Ogisu@yourdomain.local,555-2236,Sales,P@ssword,Green Bay,Initech,United States,Fukiko Ogisu,Fukiko.Ogisu@yourdomain.local,Initech,WI
